V1	V2	Cluster
PF3D7_1308300	40S ribosomal protein S27	9
PF3D7_1308400	conserved Plasmodium protein, unknown function	109
PF3D7_1308500	conserved Plasmodium protein, unknown function	10
PF3D7_1308700	conserved Plasmodium protein, unknown function	166
PF3D7_1308800	tyrosine recombinase	108
PF3D7_1308900	mRNA-decapping enzyme 2, putative	70
PF3D7_1309000	conserved Plasmodium protein, unknown function	97
PF3D7_1309100	60S ribosomal protein L24, putative	9
PF3D7_1309200	protein phosphatase PPM6, putative	192
PF3D7_1309300	U4/U6 small nuclear ribonucleoprotein PRP3, putative	172
PF3D7_1309400	HORMA domain protein, putative	51
PF3D7_1309500	H/ACA ribonucleoprotein complex subunit 1, putative	39
PF3D7_1309600	ribosomal RNA methyltransferase, putative	144
PF3D7_1309700	vacuolar protein sorting-associated protein 18, putative	25
PF3D7_1309800	conserved Plasmodium protein, unknown function	146
PF3D7_1309900	conserved Plasmodium protein, unknown function	42
PF3D7_1310000	ATP synthase subunit O, mitochondrial, putative	28
PF3D7_1310100	conserved Plasmodium protein, unknown function	166
PF3D7_1310200	conserved Plasmodium protein, unknown function	148
PF3D7_1310300	zinc finger protein, putative	163
PF3D7_1310400	conserved Plasmodium protein, unknown function	139
PF3D7_1310500	conserved protein, unknown function	206
PF3D7_1310600	ras-related protein Rab-5B	148
PF3D7_1310700	RNA-binding protein, putative	103
PF3D7_1310800	conserved Plasmodium protein, unknown function	183
PF3D7_1310900	mitochondrial ribosomal protein S15 precursor, putative	215
PF3D7_1311000	protein ISD11	120
PF3D7_1311100	meiosis-specific nuclear structural protein 1, putative	182
PF3D7_1311200	alternative splicing regulator, putative	110
PF3D7_1311300	ATP synthase subunit gamma, mitochondrial	53
PF3D7_1311400	AP-1 complex subunit mu-1	109
PF3D7_1311500	26S protease regulatory subunit 7, putative	101
PF3D7_1311600	conserved Plasmodium protein, unknown function	81
PF3D7_1311700	cytochrome c, putative	183
PF3D7_1311800	M1-family alanyl aminopeptidase	131
PF3D7_1311900	V-type proton ATPase catalytic subunit A	109
PF3D7_1312000	malonyl CoA-acyl carrier protein transacylase	95
PF3D7_1312100	GYF domain-containing protein, putative	10
PF3D7_1312200	conserved Plasmodium protein, unknown function	47
PF3D7_1312300	mitochondrial ribosomal protein S35 precursor, putative	37
PF3D7_1312400	translation initiation factor IF-2, putative	160
PF3D7_1312600	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial, putative	123
PF3D7_1312700	conserved Plasmodium protein, unknown function	199
PF3D7_1312800	conserved Plasmodium protein, unknown function	191
PF3D7_1312900	eukaryotic translation initation factor 4 gamma	147
PF3D7_1313000	ubiquitin-like protein nedd8 homologue, putative	156
PF3D7_1313100	conserved Plasmodium protein, unknown function	179
PF3D7_1313200	methionyl-tRNA formyltransferase, putative	48
PF3D7_1313300	peptidyl-prolyl cis-trans isomerase, putative	231
PF3D7_1313400	DEAD box helicase, putative	134
PF3D7_1313500	conserved Plasmodium membrane protein, unknown function	18
PF3D7_1313600	conserved Plasmodium protein, unknown function	18
PF3D7_1313700	Maf-like protein, putative	160
PF3D7_1313800	conserved Plasmodium membrane protein, unknown function	76
PF3D7_1314000	conserved Plasmodium protein, unknown function	67
PF3D7_1314100	conserved Plasmodium protein, unknown function	110
PF3D7_1314200	telomerase reverse transcriptase	158
PF3D7_1314300	conserved Plasmodium protein, unknown function	44
PF3D7_1314400	conserved Plasmodium protein, unknown function	165
PF3D7_1314500	transmembrane emp24 domain-containing protein, putative	110
PF3D7_1314600	lipoate-protein ligase 1	159
PF3D7_1314700	pinin/SDK/MemA domain-containing protein, putative	173
PF3D7_1314800	ubiquitin-like protein, putative	151
PF3D7_1314900	general transcription factor IIH subunit 2	64
PF3D7_1315000	conserved Plasmodium protein, unknown function	7
PF3D7_1315100	serine/threonine protein kinase PK9	182
PF3D7_1315200	conserved Plasmodium protein, unknown function	122
PF3D7_1315300	conserved Plasmodium protein, unknown function	191
PF3D7_1315400	zinc finger (CCCH type) protein, putative	39
PF3D7_1315500	conserved Plasmodium protein, unknown function	98
PF3D7_1315600	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	92
PF3D7_1315700	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative	183
PF3D7_1315800	transcription factor MYB1	229
PF3D7_1315900	exportin-T, putative	39
PF3D7_1316000	protein kinase, putative	84
PF3D7_1316100	inositol polyphosphate kinase, putative	173
PF3D7_1316200	ADP-ribosylation factor, putative	14
PF3D7_1316400	SAS6-like protein, putative	182
PF3D7_1316500	pre-mRNA-processing factor 40, putative	65
PF3D7_1316600	choline-phosphate cytidylyltransferase	150
PF3D7_1316700	conserved Plasmodium protein, unknown function	155
PF3D7_1316800	protein transport protein SEC20, putative	157
PF3D7_1316900	conserved Plasmodium protein, unknown function	120
PF3D7_1317000	U4/U6.U5 tri-snRNP-associated protein 2, putative	147
PF3D7_1317100	DNA replication licensing factor MCM4	33
PF3D7_1317200	AP2 domain transcription factor AP2-G3, putative	145
PF3D7_1317300	conserved Plasmodium protein, unknown function	48
PF3D7_1317400	zinc finger protein, putative	55
PF3D7_1317500	conserved Plasmodium protein, unknown function	202
PF3D7_1317600	conserved Plasmodium protein, unknown function	35
PF3D7_1317800	40S ribosomal protein S19	9
PF3D7_1317900	nucleolar complex protein 4, putative	137
PF3D7_1318000	conserved Plasmodium membrane protein, unknown function	148
PF3D7_1318100	ferredoxin, putative	117
PF3D7_1318200	glycerol-3-phosphate 1-O-acyltransferase	43
PF3D7_1318300	conserved Plasmodium protein, unknown function	121
PF3D7_1318400	structural maintenance of chromosomes protein 2, putative	27
PF3D7_1318600	conserved Plasmodium protein, unknown function	116
PF3D7_1318700	conserved Plasmodium protein, unknown function	14
PF3D7_1318800	translocation protein SEC63, putative	39
PF3D7_1318900	conserved Plasmodium protein, unknown function	170
PF3D7_1319000	conserved Plasmodium protein, unknown function	82
PF3D7_1319100	ubiquitin carboxyl-terminal hydrolase MINDY, putative	7
PF3D7_1319200	conserved Plasmodium protein, unknown function	124
PF3D7_1319300	tRNA (guanine(26)-N(2))-dimethyltransferase, putative	94
PF3D7_1319400	conserved Plasmodium protein, unknown function	108
PF3D7_1319500	conserved Plasmodium protein, unknown function	166
PF3D7_1319600	ACDC domain-containing protein, putative	133
PF3D7_1319700	protein phosphatase PP2A regulatory subunit A, putative	116
PF3D7_1319800	conserved Plasmodium protein, unknown function	63
PF3D7_1319900	conserved Plasmodium protein, unknown function	196
PF3D7_1320000	golgi protein 1	7
PF3D7_1320100	ATP-dependent Clp protease adapter protein ClpS	27
PF3D7_1320200	TBC domain protein, putative	27
PF3D7_1320300	conserved Plasmodium protein, unknown function	134
PF3D7_1320400	type I signal peptidase	134
PF3D7_1320500	SNARE protein, putative	70
PF3D7_1320600	ras-related protein Rab-11A	91
PF3D7_1320700	conserved Plasmodium protein, unknown function	148
PF3D7_1320800	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	146
PF3D7_1320900	RNA-binding protein, putative	215
PF3D7_1321100	conserved Plasmodium protein, unknown function	148
PF3D7_1321200	conserved protein, unknown function	234
PF3D7_1321300	conserved Plasmodium membrane protein, unknown function	25
PF3D7_1321400	palmitoyltransferase DHHC8, putative	74
PF3D7_1321500	3',5'-cyclic nucleotide phosphodiesterase, putative	123
PF3D7_1321600	phosphodiesterase gamma, putative	230
PF3D7_1321700	splicing factor 1	147
PF3D7_1321800	protein transport protein SFT2, putative	45
PF3D7_1321900	conserved Plasmodium protein, unknown function	163
PF3D7_1322000	nucleoside-diphosphatase, putative	37
PF3D7_1322100	histone-lysine N-methyltransferase SET2	76
PF3D7_1322200	conserved Plasmodium protein, unknown function	108
PF3D7_1322300	conserved Plasmodium protein, unknown function	146
PF3D7_1322400	conserved Plasmodium protein, unknown function	207
PF3D7_1322500	palmitoyltransferase DHHC5	10
PF3D7_1322600	conserved Plasmodium protein, unknown function	148
PF3D7_1322700	conserved Plasmodium protein, unknown function	212
PF3D7_1322900	conserved Plasmodium protein, unknown function	95
PF3D7_1323000	beta-hydroxyacyl-ACP dehydratase	71
PF3D7_1323100	60S ribosomal protein L6, putative	9
PF3D7_1323200	V-type proton ATPase subunit G, putative	154
PF3D7_1323300	N-acetyltransferase, GNAT family, putative	40
PF3D7_1323400	60S ribosomal protein L23	9
PF3D7_1323500	plasmepsin V	87
PF3D7_1323600	conserved Plasmodium protein, unknown function	146
PF3D7_1323700	glideosome associated protein with multiple membrane spans 1	123
PF3D7_1323800	vacuolar protein sorting-associated protein 52, putative	223
PF3D7_1323900	protein BCP1, putative	97
PF3D7_1324000	conserved Plasmodium protein, unknown function	183
PF3D7_1324100	conserved Plasmodium membrane protein, unknown function	93
PF3D7_1324200	micro-fibrillar-associated protein, putative	152
PF3D7_1324300	conserved Plasmodium membrane protein, unknown function	233
PF3D7_1324400	PRELI domain-containing protein, putative	39
PF3D7_1324500	DEAD box helicase, putative	117
PF3D7_1324600	conserved Plasmodium protein, unknown function	10
PF3D7_1324700	SNARE protein, putative	81
PF3D7_1324800	dihydrofolate synthase/folylpolyglutamate synthase	40
PF3D7_1324900	L-lactate dehydrogenase	65
PF3D7_1325000	U6 snRNA-associated Sm-like protein LSm6, putative	49
PF3D7_1325100	phosphoribosylpyrophosphate synthetase	9
PF3D7_1325200	lactate dehydrogenase, putative	89
PF3D7_1325400	conserved Plasmodium protein, unknown function	11
PF3D7_1325500	conserved Plasmodium protein, unknown function	96
PF3D7_1325600	mitochondrial fission 1 protein, putative	33
PF3D7_1325800	conserved Plasmodium protein, unknown function	194
PF3D7_1325900	conserved Plasmodium protein, unknown function	10
PF3D7_1326000	conserved Plasmodium protein, unknown function	123
PF3D7_1326100	WD repeat-containing protein, putative	12
PF3D7_1326300	RNA-binding protein, putative	100
PF3D7_1326400	translation initiation factor eIF-2B subunit gamma, putative	25
PF3D7_1326500	conserved Plasmodium protein, unknown function	89
PF3D7_1326600	conserved Plasmodium protein, unknown function	32
PF3D7_1327300	conserved Plasmodium protein, unknown function	150
PF3D7_1327400	conserved Plasmodium protein, unknown function	217
PF3D7_1327500	conserved Plasmodium protein, unknown function	11
PF3D7_1327600	nicotinamide/nicotinic acid mononucleotide adenylyltransferase	103
PF3D7_1327700	regulator of nonsense transcripts 3B, putative	52
PF3D7_1327800	ribose-phosphate pyrophosphokinase, putative	100
PF3D7_1328000	conserved Plasmodium protein, unknown function	37
PF3D7_1328100	proteasome subunit beta type-7, putative	50
PF3D7_1328200	conserved Plasmodium protein, unknown function	10
PF3D7_1328300	conserved Plasmodium protein, unknown function	34
PF3D7_1328400	conserved protein, unknown function	113
PF3D7_1328500	alpha/beta-hydrolase, putative	185
PF3D7_1328600	conserved Plasmodium protein, unknown function	182
PF3D7_1328800	transcriptional regulatory protein sir2a	180
PF3D7_1328900	PUB domain-containing protein, putative	35
PF3D7_1329000	DNA-directed RNA polymerase III subunit RPC1, putative	100
PF3D7_1329100	myosin F, putative	54
PF3D7_1329200	conserved Plasmodium protein, unknown function	93
PF3D7_1329300	chromatin assembly factor 1 subunit, putative	227
PF3D7_1329400	AMP deaminase, putative	215
PF3D7_1329500	conserved Plasmodium protein, unknown function	23
PF3D7_1329600	conserved Plasmodium protein, unknown function	39
PF3D7_1329700	apicoplast calcium binding protein 1	14
PF3D7_1329800	conserved Plasmodium protein, unknown function	78
PF3D7_1329900	conserved Plasmodium protein, unknown function	208
PF3D7_1330000	PITH domain-containing protein, putative	215
PF3D7_1330100	conserved Plasmodium protein, unknown function	93
PF3D7_1330200	conserved Plasmodium protein, unknown function	93
PF3D7_1330300	DnaJ protein, putative	86
PF3D7_1330400	ER lumen protein retaining receptor 1, putative, unspecified product	224
PF3D7_1330500	CTLH domain-containing protein, putative	123
PF3D7_1330600	elongation factor Tu, putative	28
PF3D7_1330700	GPI transamidase subunit PIG-U, putative	10
PF3D7_1330800	RNA-binding protein, putative	94
PF3D7_1331000	protein kinase, putative	103
PF3D7_1331100	DNA polymerase theta, putative	187
PF3D7_1331200	conserved Plasmodium protein, unknown function	9
PF3D7_1331300	signal peptidase 21 kDa subunit	10
PF3D7_1331400	CPW-WPC family protein	95
PF3D7_1331500	conserved Plasmodium protein, unknown function	103
PF3D7_1331600	protein tyrosine phosphatase-like protein, putative	37
PF3D7_1331700	glutamine--tRNA ligase, putative	9
PF3D7_1331800	60S ribosomal protein L23, putative	9
PF3D7_1332000	syntaxin, Qa-SNARE family	141
PF3D7_1332100	conserved Plasmodium membrane protein, unknown function	107
PF3D7_1332200	conserved Plasmodium protein, unknown function	5
PF3D7_1332300	trafficking protein particle complex subunit 2, putative	192
PF3D7_1332400	nucleotidyltransferase, putative	159
PF3D7_1332500	SAM-dependent RNA methyltransferase, putative	183
PF3D7_1332600	DNA-(apurinic or apyrimidinic site) lyase 1, putative	108
PF3D7_1332700	ATP-dependent RNA helicase DBP8, putative	100
PF3D7_1332800	eukaryotic translation initiation factor 6, putative	100
PF3D7_1332900	isoleucine--tRNA ligase, putative	9
PF3D7_1333000	20 kDa chaperonin	70
PF3D7_1333100	conserved Plasmodium protein, unknown function	122
PF3D7_1333200	ubiquitin-activating enzyme	29
PF3D7_1333300	transmembrane protein Tmp21 homologue, putative	115
PF3D7_1333400	conserved protein, unknown function	26
PF3D7_1333500	conserved Plasmodium protein, unknown function	42
PF3D7_1333600	U3 small nucleolar RNA-associated protein 4, putative	100
PF3D7_1333700	histone H3-like centromeric protein CSE4	191
PF3D7_1333800	conserved Plasmodium protein, unknown function	97
PF3D7_1333900	conserved Plasmodium protein, unknown function	47
PF3D7_1334000	RING zinc finger protein, putative	41
PF3D7_1334100	conserved Plasmodium protein, unknown function	108
PF3D7_1334200	chaperone binding protein, putative	152
PF3D7_1334300	MSP7-like protein	29
PF3D7_1334400	MSP7-like protein	236
PF3D7_1334500	MSP7-like protein	75
PF3D7_1334600	MSP7-like protein	106
PF3D7_1334700	MSP7-like protein	76
PF3D7_1334800	MSP7-like protein	203
PF3D7_1334900	MSP7-like protein, fragment, pseudogene	217
PF3D7_1335000	MSP7-like protein	6
PF3D7_1335100	merozoite surface protein 7	5
PF3D7_1335300	reticulocyte binding protein 2 homologue b	193
PF3D7_1335400	reticulocyte binding protein 2 homologue a	193
PF3D7_1335500	DNA replication complex GINS protein, putative	208
PF3D7_1335600	conserved Plasmodium protein, unknown function	206
PF3D7_1335700	conserved Plasmodium protein, unknown function	40
PF3D7_1335800	conserved Plasmodium protein, unknown function	118
PF3D7_1335900	thrombospondin-related anonymous protein	90
PF3D7_1336000	conserved Plasmodium protein, unknown function	39
PF3D7_1336100	conserved Plasmodium protein, unknown function	217
PF3D7_1336200	conserved Plasmodium protein, unknown function	16
PF3D7_1336400	RanBPM and CLTH-like protein, putative	221
PF3D7_1336600	conserved Plasmodium protein, unknown function	146
PF3D7_1336700	conserved Plasmodium protein, unknown function	45
PF3D7_1336800	nuclear movement protein, putative	171
PF3D7_1336900	tryptophan--tRNA ligase	25
PF3D7_1337000	mitochondrial intermediate peptidase, putative	161
PF3D7_1337100	protein kinase 6	161
PF3D7_1337200	1-deoxy-D-xylulose 5-phosphate synthase	96
PF3D7_1337300	exoribonuclease, putative	87
PF3D7_1337400	conserved Plasmodium protein, unknown function	100
PF3D7_1337500	conserved Plasmodium protein, unknown function	171
PF3D7_1337700	conserved Plasmodium protein, unknown function	95
PF3D7_1337800	calcium-dependent protein kinase 5	23
PF3D7_1337900	conserved Plasmodium protein, unknown function	52
PF3D7_1338000	LMBR1 domain-containing protein, putative	153
PF3D7_1338100	26S proteasome regulatory subunit RPN3, putative	50
PF3D7_1338200	60S ribosomal protein L6-2, putative	9
PF3D7_1338300	elongation factor 1-gamma, putative	9
PF3D7_1338400	SprT-like domain-containing protein, putative	63
PF3D7_1338500	conserved Plasmodium protein, unknown function	177
PF3D7_1338600	conserved Plasmodium protein, unknown function	108
PF3D7_1338700	conserved Plasmodium protein, unknown function	27
PF3D7_1338800	CPW-WPC family protein	95
PF3D7_1338900	serine/threonine protein kinase, putative	24
PF3D7_1339000	conserved Plasmodium protein, unknown function	84
PF3D7_1339300	conserved Plasmodium protein, unknown function	70
PF3D7_1339400	conserved Plasmodium protein, unknown function	123
PF3D7_1339500	mitochondrial ribosomal protein L49 precursor, putative	134
PF3D7_1339600	conserved Plasmodium protein, unknown function	55
PF3D7_1339700	conserved Plasmodium protein, unknown function	168
PF3D7_1339800	mitotic-spindle organizing protein 1, putative	72
PF3D7_1339900	ABC transporter B family member 5, putative	40
PF3D7_1340000	secreted ookinete protein, putative	105
PF3D7_1340100	exosome complex component RRP42, putative	97
PF3D7_1340300	nucleolar complex protein 2, putative	39
PF3D7_1340400	conserved Plasmodium protein, unknown function	205
PF3D7_1340500	conserved Plasmodium protein, unknown function	172
PF3D7_1340600	RNA lariat debranching enzyme, putative	9
PF3D7_1340700	ras-related protein Rab-11B	24
PF3D7_1340800	mitochondrial pyruvate carrier protein 1, putative	24
PF3D7_1340900	sodium-dependent phosphate transporter	163
PF3D7_1341200	60S ribosomal protein L18, putative	9
PF3D7_1341300	60S ribosomal protein L18-2, putative	9
PF3D7_1341500	inner membrane complex suture component, putative	103
PF3D7_1341600	GPI mannosyltransferase 3	10
PF3D7_1341700	conserved Plasmodium protein, unknown function	208
PF3D7_1341800	inner membrane complex protein 1k, putative	95
PF3D7_1341900	V-type proton ATPase subunit D, putative	98
PF3D7_1342000	40S ribosomal protein S6	9
PF3D7_1342100	aconitate hydratase	206
PF3D7_1342200	conserved Plasmodium membrane protein, unknown function	48
PF3D7_1342300	tetratricopeptide repeat protein, putative	32
PF3D7_1342400	casein kinase II beta chain	100
PF3D7_1342500	sporozoite protein essential for cell traversal	74
PF3D7_1342600	myosin A	103
PF3D7_1342700	DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative	112
PF3D7_1342800	phosphoenolpyruvate carboxykinase	121
PF3D7_1342900	AP2 domain transcription factor, putative	70
PF3D7_1343000	phosphoethanolamine N-methyltransferase	36
PF3D7_1343100	conserved Plasmodium protein, unknown function	34
PF3D7_1343200	tRNA guanosine-2'-O-methyltransferase, putative	47
PF3D7_1343300	CDT1-like protein, putative	156
PF3D7_1343400	DNA repair protein RAD5, putative	214
PF3D7_1343500	conserved Plasmodium protein, unknown function	27
PF3D7_1343600	UDP-N-acetylglucosamine pyrophosphorylase, putative	160
PF3D7_1343700	kelch protein K13	7
PF3D7_1344500	U6 snRNA phosphodiesterase, putative	20
PF3D7_1344600	lipoyl synthase	18
PF3D7_1344700	conserved Plasmodium protein, unknown function	147
PF3D7_1344800	aspartate carbamoyltransferase	110
PF3D7_1344900	conserved Plasmodium protein, unknown function	100
PF3D7_1345000	conserved Plasmodium protein, unknown function	182
PF3D7_1345100	thioredoxin 2	45
PF3D7_1345200	rhomboid protease ROM6, putative	16
PF3D7_1345400	conserved Plasmodium protein, unknown function	40
PF3D7_1345500	ubiquitin-conjugating enzyme E2	31
PF3D7_1345600	inner membrane complex protein	106
PF3D7_1345700	isocitrate dehydrogenase [NADP], mitochondrial	50
PF3D7_1345800	conserved Plasmodium protein, unknown function	12
PF3D7_1345900	kinetochore protein SPC25, putative	51
PF3D7_1346000	dynactin subunit 2, putative	203
PF3D7_1346100	protein transport protein SEC61 subunit alpha	154
PF3D7_1346200	nuclear import protein MOG1, putative	190
PF3D7_1346300	DNA/RNA-binding protein Alba 2	39
PF3D7_1346400	conserved Plasmodium protein, unknown function	64
PF3D7_1346500	conserved Plasmodium protein, unknown function	94
PF3D7_1346600	conserved Plasmodium protein, unknown function	37
PF3D7_1346700	6-cysteine protein	63
PF3D7_1346800	6-cysteine protein	57
PF3D7_1346900	conserved Plasmodium protein, unknown function	27
PF3D7_1347000	WD repeat-containing protein 92, putative	37
PF3D7_1347100	DNA topoisomerase 3, putative	37
PF3D7_1347200	nucleoside transporter 1	119
PF3D7_1347500	DNA/RNA-binding protein Alba 4	39
PF3D7_1347700	ethanolamine-phosphate cytidylyltransferase	7
PF3D7_1347800	leucine-rich repeat protein	69
PF3D7_1347900	conserved Plasmodium protein, unknown function	102
PF3D7_1348000	conserved Plasmodium protein, unknown function	43
PF3D7_1348100	GTPase, putative	18
PF3D7_1348200	step II splicing factor, putative	39
PF3D7_1348300	elongation factor Tu, putative	85
PF3D7_1348400	conserved Plasmodium membrane protein, unknown function	51
PF3D7_1348500	TBC domain protein, putative	10
PF3D7_1348600	conserved Plasmodium protein, unknown function	148
PF3D7_1348700	WD repeat-containing protein 16, putative	208
PF3D7_1348800	E1-E2 ATPase, putative	208
PF3D7_1348900	conserved Plasmodium protein, unknown function	165
PF3D7_1349000	conserved Plasmodium protein, unknown function	43
PF3D7_1349100	nucleoside diphosphate hydrolase, putative	82
PF3D7_1349200	glutamate--tRNA ligase, putative	39
PF3D7_1349300	tyrosine kinase-like protein	11
PF3D7_1349400	cytidine and deoxycytidylate deaminase, putative	97
PF3D7_1349500	conserved Plasmodium protein, unknown function	62
PF3D7_1349600	conserved Plasmodium protein, unknown function	101
PF3D7_1349700	peptidase, putative	74
PF3D7_1349800	nucleolar preribosomal associated cytoplasmic ATPase, putative	66
PF3D7_1349900	conserved Plasmodium protein, unknown function	60
PF3D7_1350100	lysine--tRNA ligase	9
PF3D7_1350200	small nuclear ribonucleoprotein E, putative	120
PF3D7_1350300	conserved protein, unknown function	139
PF3D7_1350400	ubiquitin-activating enzyme E1, putative	37
PF3D7_1350500	conserved Plasmodium protein, unknown function	135
PF3D7_1350700	N6-adenine-specific methylase, putative	58
PF3D7_1350800	conserved Plasmodium protein, unknown function	182
PF3D7_1350900	AP2 domain transcription factor AP2-O4, putative	125
PF3D7_1351000	phosphatidylinositol transfer protein, putative	187
PF3D7_1351100	conserved protein, unknown function	171
PF3D7_1351200	conserved Plasmodium protein, unknown function	50
PF3D7_1351300	conserved Plasmodium membrane protein, unknown function	57
PF3D7_1351400	60S ribosomal protein L17, putative	25
PF3D7_1351600	glycerol kinase	95
PF3D7_1351700	inner membrane complex protein 1f, putative	103
PF3D7_1351800	conserved Plasmodium protein, unknown function	91
PF3D7_1351900	conserved Plasmodium protein, unknown function	152
PF3D7_1352000	conserved Plasmodium protein, unknown function	56
PF3D7_1352100	ABC transporter B family member 6, putative	91
PF3D7_1352200	U3 small nucleolar RNA-associated protein 15, putative	39
PF3D7_1352300	conserved Plasmodium protein, unknown function	222
PF3D7_1352400	conserved Plasmodium protein, unknown function	64
PF3D7_1352500	thioredoxin-related protein, putative	109
PF3D7_1352700	intron-binding protein aquarius, putative	13
PF3D7_1352800	vacuolar fusion protein MON1, putative	48
PF3D7_1352900	Plasmodium exported protein, unknown function	81
PF3D7_1353000	tryptophan-rich protein, pseudogene	157
PF3D7_1353100	Plasmodium exported protein, unknown function	147
PF3D7_1353200	membrane associated histidine-rich protein	81
PF3D7_1353300	conserved Plasmodium protein, unknown function	161
PF3D7_1353400	Ran-binding protein, putative	9
PF3D7_1353500	RNA polymerase II transcription factor B subunit 4, putative	110
PF3D7_1353600	ER lumen protein retaining receptor	126
PF3D7_1353700	reactive oxygen species modulator 1, putative	83
PF3D7_1353800	proteasome subunit alpha type-4, putative	50
PF3D7_1353900	proteasome subunit alpha type-7, putative	50
PF3D7_1354000	conserved Plasmodium protein, unknown function	151
PF3D7_1354100	conserved Plasmodium protein, unknown function	64
PF3D7_1354200	phosphoinositide phosphatase SAC1	203
PF3D7_1354300	large subunit rRNA methyltransferase, putative	39
PF3D7_1354400	V-type proton ATPase 21 kDa proteolipid subunit, putative	187
PF3D7_1354500	adenylosuccinate synthetase	70
PF3D7_1354600	60S ribosomal protein L7-2, putative	217
PF3D7_1354700	conserved Plasmodium protein, unknown function	67
PF3D7_1354800	metacaspase-1	125
PF3D7_1354900	conserved Plasmodium protein, unknown function	157
PF3D7_1355100	DNA replication licensing factor MCM6	72
PF3D7_1355200	RAP protein, putative	178
PF3D7_1355300	histone-lysine N-methyltransferase, putative	139
PF3D7_1355500	serine/threonine protein phosphatase 5	65
PF3D7_1355600	PhIL1 interacting protein PIP1	237
PF3D7_1355700	NLI interacting factor-like phosphatase, putative	119
PF3D7_1355900	RWD domain-containing protein, putative	65
PF3D7_1356000	conserved Plasmodium protein, unknown function	164
PF3D7_1356100	conserved Plasmodium protein, unknown function	191
PF3D7_1356200	mitochondrial import inner membrane translocase subunit TIM23, putative	70
PF3D7_1356300	ubiquitin-conjugating enzyme E2, putative	106
PF3D7_1356400	phosphatase 2A regulatory subunit-related protein, putative	117
PF3D7_1356500	conserved Plasmodium protein, unknown function	208
PF3D7_1356600	regulator of chromosome condensation, putative	79
PF3D7_1356700	DnaJ protein, putative	187
PF3D7_1356800	serine/threonine protein kinase, putative	148
PF3D7_1356900	protein kinase 5	44
PF3D7_1357000	elongation factor 1-alpha	9
PF3D7_1357100	elongation factor 1-alpha	9
PF3D7_1357200	glutamate--tRNA ligase	116
PF3D7_1357400	conserved Plasmodium protein, unknown function	225
PF3D7_1357500	DNA helicase, putative	10
PF3D7_1357600	conserved Plasmodium protein, unknown function	31
PF3D7_1357700	U3 small nucleolar RNA-associated protein 21, putative	137
PF3D7_1357800	T-complex protein 1 subunit delta	9
PF3D7_1357900	pyrroline-5-carboxylate reductase, putative	159
PF3D7_1358000	patatin-like phospholipase, putative	37
PF3D7_1358100	Sas10 domain-containing protein, putative	100
PF3D7_1358200	conserved Plasmodium protein, unknown function	97
PF3D7_1358300	rhomboid protease ROM7	62
PF3D7_1358400	conserved Plasmodium protein, unknown function	14
PF3D7_1358500	zinc finger protein, putative	159
PF3D7_1358600	zinc finger protein, putative	95
PF3D7_1358700	YOP1-like protein, putative	138
PF3D7_1358800	40S ribosomal protein S15	9
PF3D7_1358900	GTP-binding protein, putative	97
PF3D7_1359000	conserved Plasmodium protein, unknown function	100
PF3D7_1359200	high mobility group protein B4, putative	48
PF3D7_1359300	exosome complex exonuclease RRP44	100
PF3D7_1359400	CUGBP Elav-like family member 1	39
PF3D7_1359600	conserved Plasmodium protein, unknown function	58
PF3D7_1359700	conserved Plasmodium protein, unknown function	68
PF3D7_1359900	conserved Plasmodium membrane protein, unknown function	81
PF3D7_1360000	conserved Plasmodium protein, unknown function	15
PF3D7_1360100	RNA-binding protein, putative	135
PF3D7_1360200	ER membrane protein complex subunit 3, putative	183
PF3D7_1360300	conserved Plasmodium protein, unknown function	110
PF3D7_1360400	conserved Plasmodium protein, unknown function	217
PF3D7_1360500	guanylyl cyclase beta	18
PF3D7_1360700	E3 SUMO-protein ligase PIAS, putative	214
PF3D7_1360800	falcilysin	64
PF3D7_1360900	RNA-binding protein, putative	44
PF3D7_1361000	protein arginine N-methyltransferase 5, putative	25
PF3D7_1361100	protein transport protein Sec24A	165
PF3D7_1361200	conserved Plasmodium protein, unknown function	139
PF3D7_1361300	conserved Plasmodium protein, unknown function	84
PF3D7_1361400	actin-depolymerizing factor 2	148
PF3D7_1361500	conserved Plasmodium protein, unknown function	103
PF3D7_1361600	Fe-S assembly protein IscX, putative	102
PF3D7_1361700	cytochrome c oxidase subunit 2, putative	203
PF3D7_1361800	glideosome-associated connector	103
PF3D7_1361900	proliferating cell nuclear antigen 1	146
PF3D7_1362000	conserved Plasmodium protein, unknown function	10
PF3D7_1362100	14-3-3 protein	208
PF3D7_1362200	RuvB-like helicase 3	147
PF3D7_1362300	conserved protein, unknown function	64
PF3D7_1362400	calpain	79
PF3D7_1362500	exonuclease, putative	20
PF3D7_1362600	conserved Plasmodium protein, unknown function	95
PF3D7_1362700	conserved Plasmodium protein, unknown function	132
PF3D7_1362800	conserved Plasmodium protein, unknown function	11
PF3D7_1362900	conserved Plasmodium protein, unknown function	95
PF3D7_1363000	conserved Plasmodium protein, unknown function	100
PF3D7_1363100	conserved Plasmodium protein, unknown function	197
